baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.4964190020583147,2,5,hcrd_robust,0.01,5,0.0
0.03916956922054566,11,5,hcrd_gaussian_guided,0.01,5,0.6250000000000001
0.03919007782208161,11,5,hcrd_adaptive_guided,0.01,5,0.6250000000000001
0.024365794343546656,9,5,hcrd_quadratic_guided,0.01,5,1.0
0.8094704289820416,99,5,hcrd_raw,0.01,6,0.1346153846153846
0.49642114971080853,2,5,hcrd_robust,0.01,6,0.0
0.03994441617800553,11,5,hcrd_gaussian_guided,0.01,6,0.6250000000000001
0.0399394612317967,11,5,hcrd_adaptive_guided,0.01,6,0.6250000000000001
0.024834796092306235,9,5,hcrd_quadratic_guided,0.01,6,1.0
0.8224404226952683,100,5,hcrd_raw,0.01,7,0.13333333333333333
1.0627555678144003,3,5,hcrd_robust,0.01,7,0.0
0.039415941524226436,11,5,hcrd_gaussian_guided,0.01,7,0.6250000000000001
0.03940053849316014,11,5,hcrd_adaptive_guided,0.01,7,0.6250000000000001
0.02463002242647816,9,5,hcrd_quadratic_guided,0.01,7,1.0
0.8248466876185618,99,5,hcrd_raw,0.01,8,0.1346153846153846
0.49932873395157723,2,5,hcrd_robust,0.01,8,0.0
0.036330652900339044,11,5,hcrd_gaussian_guided,0.01,8,0.6250000000000001
0.03624141339821535,11,5,hcrd_adaptive_guided,0.01,8,0.6250000000000001
0.024511553979313278,9,5,hcrd_quadratic_guided,0.01,8,1.0
0.8237492256311689,108,5,hcrd_raw,0.01,9,0.10619469026548672
0.4921799528910227,2,5,hcrd_robust,0.01,9,0.0
0.0338909020132432,11,5,hcrd_gaussian_guided,0.01,9,0.75
0.02499784016501761,9,5,hcrd_adaptive_guided,0.01,9,0.8571428571428571
0.024743548302278522,9,5,hcrd_quadratic_guided,0.01,9,1.0
0.8053288706240858,109,6,hcrd_raw,0.01,0,0.12280701754385964
0.34733436635267734,2,6,hcrd_robust,0.01,0,0.0
0.16097171794116075,11,6,hcrd_gaussian_guided,0.01,0,0.375
0.13711361139900202,9,6,hcrd_adaptive_guided,0.01,0,0.42857142857142855
0.13899206302890346,9,6,hcrd_quadratic_guided,0.01,0,0.42857142857142855
0.7891501660255411,103,6,hcrd_raw,0.01,1,0.12962962962962962
0.34803019409810404,2,6,hcrd_robust,0.01,1,0.0
0.16135405949100756,11,6,hcrd_gaussian_guided,0.01,1,0.375
0.14642555014891034,9,6,hcrd_adaptive_guided,0.01,1,0.42857142857142855
0.13975140380694553,9,6,hcrd_quadratic_guided,0.01,1,0.42857142857142855
0.7340355135709503,93,6,hcrd_raw,0.01,2,0.14285714285714288
0.46745154284803253,3,6,hcrd_robust,0.01,2,0.25
0.1467805941012215,11,6,hcrd_gaussian_guided,0.01,2,0.375
0.1396886937220284,9,6,hcrd_adaptive_guided,0.01,2,0.42857142857142855
0.14004062654230748,9,6,hcrd_quadratic_guided,0.01,2,0.42857142857142855
0.7727092842733033,98,6,hcrd_raw,0.01,3,0.11650485436893204
0.46400780104453665,3,6,hcrd_robust,0.01,3,0.25
0.14721986697204145,11,6,hcrd_gaussian_guided,0.01,3,0.375
0.13930790154119832,9,6,hcrd_adaptive_guided,0.01,3,0.42857142857142855
0.14008185685890714,9,6,hcrd_quadratic_guided,0.01,3,0.42857142857142855
0.804600537569595,105,6,hcrd_raw,0.01,4,0.12727272727272726
0.35257280481965053,2,6,hcrd_robust,0.01,4,0.0
0.16807924186366022,11,6,hcrd_gaussian_guided,0.01,4,0.25
0.1449745877749468,9,6,hcrd_adaptive_guided,0.01,4,0.2857142857142857
0.1400638424595899,9,6,hcrd_quadratic_guided,0.01,4,0.42857142857142855
0.8023402366146289,106,6,hcrd_raw,0.01,5,0.12612612612612611
0.34683377424598455,2,6,hcrd_robust,0.01,5,0.0
0.16753157896123205,11,6,hcrd_gaussian_guided,0.01,5,0.25
0.14433306224623255,9,6,hcrd_adaptive_guided,0.01,5,0.2857142857142857
0.13930543684755553,9,6,hcrd_quadratic_guided,0.01,5,0.42857142857142855
0.7898222624789466,97,6,hcrd_raw,0.01,6,0.1372549019607843
0.34655788757511424,2,6,hcrd_robust,0.01,6,0.0
0.16518500844030362,11,6,hcrd_gaussian_guided,0.01,6,0.25
0.14213536476383115,9,6,hcrd_adaptive_guided,0.01,6,0.2857142857142857
0.1538294397795993,9,6,hcrd_quadratic_guided,0.01,6,0.42857142857142855
0.7941410017773874,96,6,hcrd_raw,0.01,7,0.1386138613861386
