noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.3,3,1.0,0.3135673094209448,4.131855278395371
0.01,0.3,3,1.0,0.22539856860187532,0.1412667891603313
0.01,0.3,3,1.0,0.24145440292403597,2.469407177690704
0.01,0.3,3,1.0,0.2659677541575937,2.536525696170081
0.01,0.3,4,1.0,0.19706956576817572,2.60524999865504
0.01,0.3,4,1.0,0.2574130259445333,2.4286782351392233
0.01,0.3,4,1.0,0.2554510711739351,0.2336637044396235
0.01,0.3,4,1.0,0.2285104694956147,2.217939333601453
0.01,0.3,4,1.0,0.17429025674287021,0.17300289141728564
0.01,0.3,4,1.0,0.22720095107357638,2.8396442571705007
0.01,0.3,4,1.0,0.24606506811487555,3.384993919076695
0.01,0.3,4,1.0,0.19072403384140435,2.4373857314798566
0.01,0.3,4,1.0,0.2309113939142913,3.13487311589514
0.01,0.3,4,1.0,0.24353527524700122,2.151445652370146
0.01,0.3,5,1.0,0.32954587465264473,2.8244612900644226
0.01,0.3,5,1.0,0.3057003336889014,0.20778626386129667
0.01,0.3,5,1.0,0.25535129833163817,2.9585752167939403
0.01,0.3,5,1.0,0.2685201387089761,2.9516109046486845
0.01,0.3,5,1.0,0.26231494199424693,2.7954055454883697
0.01,0.3,5,1.0,0.24392136013525134,0.21221442905792504
0.01,0.3,5,1.0,0.318075600145268,0.30523672306408106
0.01,0.3,5,1.0,0.19733825955886816,2.857731973189706
0.01,0.3,5,1.0,0.2542946813317666,3.0101560145050112
0.01,0.3,5,1.0,0.24888145782832027,0.2778904703203936
0.01,0.3,6,1.0,0.26469227294314845,0.20483987220373132
0.01,0.3,6,1.0,0.22550250887409667,0.1754369060058007
0.01,0.3,6,1.0,0.26371102985813205,0.2600851985695894
0.01,0.3,6,1.0,0.2344944785850823,0.18329722730990525
0.01,0.3,6,1.0,0.2320786312039146,0.24610577900777725
0.01,0.3,6,1.0,0.1929474975050785,0.21246589761246595
0.01,0.3,6,1.0,0.24038067187027992,0.18345098602198706
0.01,0.3,6,1.0,0.2798999232016334,0.3642371328721591
0.01,0.3,6,1.0,0.28583978495245876,0.23292979279106682
0.01,0.3,6,1.0,0.26384526194594654,0.23129154807354288
0.01,0.3,7,1.0,0.23588039351628276,2.2284080925309526
0.01,0.3,7,1.0,0.2519024867561237,0.19439907686921717
0.01,0.3,7,1.0,0.29609973134837436,2.323414674796494
0.01,0.3,7,1.0,0.3099088649729666,0.3398817602587752
0.01,0.3,7,1.0,0.25849600731792366,2.122122063841814
0.01,0.3,7,1.0,0.26987930247453945,0.22228433872605788
0.01,0.3,7,1.0,0.20845318196447504,2.1921224498320635
0.01,0.3,7,1.0,0.23300239337676798,2.236085764512619
0.01,0.3,7,1.0,0.2681686886244289,0.28342994844786024
0.01,0.3,7,1.0,0.2405073378439768,2.2652121225001234
0.01,1.0,0,1.0,0.21230782679653873,1.7780752559468669
0.01,1.0,0,1.0,0.3342653893909442,3.16163760618985
0.01,1.0,0,1.0,0.21485165521499788,3.223524385037608
0.01,1.0,0,1.0,0.21909125491556533,3.275510453096279
0.01,1.0,0,1.0,0.17737289760827016,2.6378363113085235
0.01,1.0,0,1.0,0.19446664600279662,2.4756651453700154
0.01,1.0,0,1.0,0.1885601498200286,2.331469048177651
0.01,1.0,0,1.0,0.29697635320403504,0.3572176960263986
0.01,1.0,0,1.0,0.3156205636475203,0.3604351126312612
0.01,1.0,0,1.0,0.2072828595433181,0.22213899747018562
0.01,1.0,1,1.0,0.3561522178089401,0.3136142203520547
0.01,1.0,1,1.0,0.22574486539834443,0.18999494530164768
0.01,1.0,1,1.0,0.23741106122283764,0.19017207360128535
0.01,1.0,1,1.0,0.208481918200518,0.15176737599863047
0.01,1.0,1,1.0,0.27129187845216424,0.21341776799704748
0.01,1.0,1,1.0,0.2487970914770239,0.2478503415749026
0.01,1.0,1,1.0,0.24927565635465965,0.21581737067077386
0.01,1.0,1,1.0,0.1931817615168687,0.16541847306118262
0.01,1.0,1,1.0,0.19390496895332124,0.133735173116337
0.01,1.0,1,1.0,0.21738743967615506,0.19145372734863816
0.01,1.0,2,1.0,0.24181791508747102,0.12184642752300588
0.01,1.0,2,1.0,0.18751905344002767,0.1195230301345619
0.01,1.0,2,1.0,0.2519661730434703,0.17082450888352355
0.01,1.0,2,1.0,0.2447168227063836,0.21244224860221403
0.01,1.0,2,1.0,0.19162652888565943,0.1877719049652726
0.01,1.0,2,1.0,0.1701753513656572,0.17264410788858273
0.01,1.0,2,1.0,0.24535263709197233,0.15009295704128958
0.01,1.0,2,1.0,0.17539412684320813,0.15950924650271608
0.01,1.0,2,1.0,0.26664231551363893,0.19329266004406342
0.01,1.0,2,1.0,0.23682165845881983,0.19752346177256075
0.01,1.0,3,1.0,0.2172613917233097,0.2244793773567249
0.01,1.0,3,1.0,0.1916801397404137,0.1878119418344772
0.01,1.0,3,1.0,0.1806223008920106,0.13742831925336085
0.01,1.0,3,1.0,0.24966468183065996,0.23286240348996282
0.01,1.0,3,1.0,0.24415253452193564,0.2138200900375983
0.01,1.0,3,1.0,0.22902256180423622,0.1757908690816163
0.01,1.0,3,1.0,0.29244914833698793,0.27892372742578464
0.01,1.0,3,1.0,0.20057542100917825,0.15670422345204058
0.01,1.0,3,1.0,0.224093553670783,0.20421011766159167
