record,beat_index,method,success,onset_error_ms,offset_error_ms,joint_absolute_error_ms
sel231,25,learned_multilevel,1,-4.0,12.0,8.0
sel231,25,official_pu0,1,0.0,-8.0,4.0
sel231,25,official_pu1,1,-44.0,20.0,32.0
sel231,26,pilot_constant,1,-4.0,-12.0,8.0
sel231,26,learned_level1,1,-4.0,-4.0,4.0
sel231,26,learned_multilevel,1,0.0,-8.0,4.0
sel231,26,official_pu0,1,4.0,4.0,4.0
sel231,26,official_pu1,1,-24.0,0.0,12.0
sel231,27,pilot_constant,1,-4.0,-24.0,14.0
sel231,27,learned_level1,1,-4.0,-16.0,10.0
sel231,27,learned_multilevel,1,-4.0,-16.0,10.0
sel231,27,official_pu0,1,-12.0,0.0,6.0
sel231,27,official_pu1,1,-24.0,-4.0,14.0
sel231,28,pilot_constant,1,-8.0,-24.0,16.0
sel231,28,learned_level1,1,-8.0,-16.0,12.0
sel231,28,learned_multilevel,1,-16.0,-12.0,14.0
sel231,28,official_pu0,1,-12.0,-4.0,8.0
sel231,28,official_pu1,1,-28.0,-8.0,18.0
sel231,29,pilot_constant,1,4.0,-12.0,8.0
sel231,29,learned_level1,1,4.0,-4.0,4.0
sel231,29,learned_multilevel,1,-4.0,-8.0,6.0
sel231,29,official_pu0,1,-4.0,4.0,4.0
sel231,29,official_pu1,1,-16.0,0.0,8.0
sel231,30,pilot_constant,1,8.0,-28.0,18.0
sel231,30,learned_level1,1,12.0,-24.0,18.0
sel231,30,learned_multilevel,1,4.0,-24.0,14.0
sel231,30,official_pu0,1,0.0,-8.0,4.0
sel231,30,official_pu1,1,-16.0,-8.0,12.0
sel231,31,pilot_constant,1,-4.0,-40.0,22.0
sel231,31,learned_level1,1,-4.0,-28.0,16.0
sel231,31,learned_multilevel,1,-4.0,-32.0,18.0
sel231,31,official_pu0,1,0.0,-24.0,12.0
sel231,31,official_pu1,1,-20.0,-24.0,22.0
sel231,32,pilot_constant,1,-4.0,-80.0,42.0
sel231,32,learned_level1,1,-4.0,-76.0,40.0
sel231,32,learned_multilevel,1,-12.0,-76.0,44.0
sel231,32,official_pu0,1,-12.0,-68.0,40.0
sel231,32,official_pu1,1,-24.0,-64.0,44.0
sel231,33,pilot_constant,1,4.0,-60.0,32.0
sel231,33,learned_level1,1,4.0,-56.0,30.0
sel231,33,learned_multilevel,1,0.0,-56.0,28.0
sel231,33,official_pu0,1,8.0,-40.0,24.0
sel231,33,official_pu1,1,-16.0,-44.0,30.0
sel231,34,pilot_constant,1,-12.0,-20.0,16.0
sel231,34,learned_level1,1,-12.0,-8.0,10.0
sel231,34,learned_multilevel,1,-12.0,-16.0,14.0
sel231,34,official_pu0,1,-20.0,0.0,10.0
sel231,34,official_pu1,1,-28.0,4.0,16.0
sel231,35,pilot_constant,1,-4.0,-24.0,14.0
sel231,35,learned_level1,1,-4.0,-16.0,10.0
sel231,35,learned_multilevel,1,-4.0,-20.0,12.0
sel231,35,official_pu0,1,-8.0,0.0,4.0
sel231,35,official_pu1,1,-20.0,-4.0,12.0
sel231,36,pilot_constant,1,-4.0,20.0,12.0
sel231,36,learned_level1,1,-4.0,16.0,10.0
sel231,36,learned_multilevel,1,-8.0,20.0,14.0
sel231,36,official_pu0,1,16.0,-8.0,12.0
sel231,36,official_pu1,1,-40.0,20.0,30.0
